style,name,factory
4b181,Crowded Hour,MILLY
4b182,Fringe Effect,MILLY
4b183,Learn To Fly,MILLY
4B184,Stars Gaze,ELIZABETH
4B185,Zoe Two Piece,ELIZABETH
4B186,Melody,ELIZABETH
4B187,Skyler,ELIZABETH
4b188,Heart Breaker 2-Piece,MILLY
4B189,Undercover,ELIZABETH
4B190,Krista,ELIZABETH
4b191,Power of Love,MILLY
4b192,One in a Million,MILLY
4B193,Jordan,ELIZABETH
4b194,Like Clockwork,MILLY
4b195,Royale,ELIZABETH
4b196,Valerie,ELIZABETH
4b197,Wish Upon ,ELIZABETH
4b198,castaway,ELIZABETH
4b199,Horizon,ELIZABETH
4B200,Gina,ELIZABETH
4b201,Jasmine,MILLY
4b202,Carissa,MILLY
4B203,Patience,ELIZABETH
4B204,Eliza,ELIZABETH
4b205,Camila Two Piece,MILLY
4B206,Jascinta,ELIZABETH
4B207,Amelia,ELIZABETH
4B208,Ellery,ELIZABETH
4B209,Georgia,ELIZABETH
4B211,Pippa,ELIZABETH
4B212,Rylie,MILLY
4B215,chanel,ELIZABETH
4B216,elle,ELIZABETH
4B219,naomi,ELIZABETH
4B220,gisele,ELIZABETH
4B224,coco,ELIZABETH
4B225,shara top/coco skirt,ELIZABETH
4B226,eva,ELIZABETH
4b217,heidi,MILLY
4b218,kate,MILLY
4b221,cindy,MILLY
4b222,tara,MILLY
4b223,daria,MILLY
4b223,daria,MILLY
4B250,FROM ABOVE,ELIZABETH
4B251,GLAMOUR CAPRI,ELIZABETH
4B252,Vintage Valour,ELIZABETH
4B254,BOHO SPIRIT,ELIZABETH
4B255,MODERN MESH,ELIZABETH
4B256,ELEGANT ANGEL,ELIZABETH
4B257,Sheer Genie,ELIZABETH
4B274,Metal Muse ,ELIZABETH
4B275,MADELINE,ELIZABETH
4B282,,ELIZABETH
4B283,,ELIZABETH
4B284,Tulle Belle,ELIZABETH
4B285,Geo Lace Siren,ELIZABETH
4B286,DELICATE DOLL,ELIZABETH
4B288,LACE MELODIE,ELIZABETH
4B289,,ELIZABETH
4B290,Emma Kate,ELIZABETH
4B291,Juliette,ELIZABETH
4B292,Alexa,ELIZABETH
4B301,HOLLY,ELIZABETH
4B302,CYNTHIA,ELIZABETH
4B303,Alyssa,ELIZABETH
4B304,Evelyn,ELIZABETH
4B307,MESH BELLE,ELIZABETH
4B284-B,Tulle Dream,ELIZABETH
13054,,ELIZABETH
4B335,DECO GLAMOUR,ELIZABETH
4B118,,ELIZABETH
4B253,Ethereal Cross,MILLY
4B253,,MILLY
4B260,GEM TWO PIECE,MILLY
4B261,CHLOE,MILLY
4B262,,MILLY
4B263,Karlie,MILLY
4B264,Backstreet Babe,MILLY
4B265,Sophia,MILLY
4B266,BAILEY,MILLY
4B267,Lauren,MILLY
4B268,HEAD OVER HEELS,MILLY
4B269,Isabelle,MILLY
4B270,OLIVIA,MILLY
4B271,CATHRINE,MILLY
4B272,Tracy,MILLY
4B276,HELENA,MILLY
4B277,ANASTASIA,MILLY
4B278,Clarissa Two Piece,MILLY
4B279,Mesh Debutant,MILLY
4B280,Lace Debutante,MILLY
4B281,Solace,MILLY
4B287,Cut Out Queen,MILLY
4B294,Glam Angel,MILLY
4B295,,MILLY
4B296,,MILLY
4B297b,Rose Floral Two Piece,MILLY
4B297,DASIY,MILLY
4B297c,Azalea Floral Two Piece,MILLY
4B299B,Azalea Floral Backless,MILLY
4B299,BACKLESS BOHO,MILLY
4B300,FIRST IN LINE,MILLY
4B305,Sweet Rebel,MILLY
4B308,,MILLY
4B309,ESSIE,MILLY
4B310,Irene,MILLY
4B311,Penelope,MILLY
4B314,STARS DREAM,MILLY
4B316,Lucy Two Piece,MILLY
4B321,,MILLY
4B322,Off Duty Two Piece ,MILLY
4B323,FIFI TWO PIECE,MILLY
4B324,CHARLI TWO PIECE,MILLY
4B325,,MILLY
4B336,NEW MOON,MILLY
4B366,MOONLIGHT,MILLY
4B367,DELICATE QUEEN,MILLY
13006,TWO PIECE TAFFETA,MILLY
13016,Laced Dreamer,MILLY
13020,Beaded Glamour,MILLY
13027,HIDEAWAY,MILLY
13043,GLAMOUR TRAIN,MILLY
13048,QUEEN OF DIAMONDS,YILILAI
13052,Elegant Lace,MILLY
13053,IMOGEN,MILLY
13054,Graphic Cutout,ELIZABETH
13055,Mesh Glamour,ELIZABETH
13056,SHEER GLAMOUR,ELIZABETH
13057,STRUCTURED CURVES,ELIZABETH
13058,piped bodice,ELIZABETH
13059,Marilyn Moment,ELIZABETH
13062,DRAPED TWIST,ELIZABETH
13063,PLEATED MINI,ELIZABETH
1310001,MIDNIGHT MAGIC,ELIZABETH
1310006,SULTRY SIREN,ELIZABETH
1310012,Modern Gypsy,ELIZABETH
1310016,TWO PIECE SWEETHEART,ELIZABETH
1310020,LOVELY IN LACE,ELIZABETH
1310022,Now you see me,ELIZABETH
1310023,Odessa,MILLY
1310024,TWO PIECE DELIGHT,ELIZABETH
1310026,CRISS CROSS,ELIZABETH
1310029,Sweet Escape,ELIZABETH
1310029W,sultry escape,ELIZABETH
4B001,LACE REBEL,MILLY
4B002,SWEPT AWAY,MILLY
4B003,SPARROW,MILLY
4B006,Floral Shift,MILLY
4B007,FLORAL WRAP,MILLY
4B009,Into dust,ELIZABETH
4B012,Forrest Chain,MILLY
4B013,Fade into You,ELIZABETH
4B014,SWEET RUFFLE,ELIZABETH
4B016,Starry Night,YILILAI
4B018,GOLDEN BODICE,MILLY
4B022,LACED PRINCESS,MILLY
4B027,VELVET SKY MINI,ELIZABETH
4B028,VELVET SKY,ELIZABETH
4B031,DAYDREAM,ELIZABETH
4B032,Aztec Two Piece,AISLE
4B033,Backless Lover,MILLY
4B034,Two Piece Lover,MILLY
4B035,ROMAN SHADOW,MILLY
4B036,Beaded Fortune,MILLY
4B037,Flowers in December,MILLY
4B040,SEQUIN LIGHT,YILILAI
4B041,MYSTIC VALLEY,MILLY
4B047,ICEBERG,MILLY
4B048,Spellbound,ELIZABETH
4B050,LAYERED ORGANZA,YILILAI
4B051,Sleeveless Lover,MILLY
4B052,FIRE WALK WITH ME,MILLY
4B053,WHEN IN ROME,ELIZABETH
4B054,Laced Heartline,ELIZABETH
4B057,RUFFLED WAVES,MILLY
4B059,Wildflower Soul,ELIZABETH
4B064,Rosemary,ELIZABETH
4B066,Jewel DOLL Two Piece,YILILAI
4B068,Wishbone,YILILAI
4B071,Starlet,MILLY
4B076,Lily x Fame,MILLY
4B078,Rachel x Fame,MILLY
4B082,Floral Love,ELIZABETH
4B086,Dark Paradise,ELIZABETH
4B088,Rosebud,MILLY
4B089,New moon,YILILAI
4B090,TWISTED RIVAL,ELIZABETH
4B091,crystallised Youth,MILLY
4B092,infinity,MILLY
4B093,SHADOW FALL,MILLY
4B094,ETERNITY,ELIZABETH
4B096,Riverside,ELIZABETH
4B097,DESERT TIDE,ELIZABETH
4B099,SOLAR HEART,ELIZABETH
4B100,Tayla,ELIZABETH
4B101,ROSEBLOOD,ELIZABETH
4B102,DELICATE DANCER,MILLY
4B104,COSMIC BOW,ELIZABETH
4B105,HOURGLASS GLAMOUR,ELIZABETH
4B106,night call,MILLY
4B107,wired cross,MILLY
4B108,Isola,YILILAI
4B110,DECACENT DREAM,ELIZABETH
4B113,Glacier,ELIZABETH
4B115,Flirty picnic,YILILAI
4B118,Rosette,ELIZABETH
4B120,MESH QUEEN,MILLY
4B121,Midnight Mesh,MILLY
4B122,Flirty mesh,MILLY
4B123,Poppy,ELIZABETH
4B124,SACRED BLISS,ELIZABETH
4B130,Astrid,MILLY
4B131,Lotus,MILLY
4B132,VIPER,ELIZABETH
4B134,TROPICAL FLUTE,MILLY
4B133,pleated beauty,MILLY
4B139,lace romance,ELIZABETH
4B142,MIDI MESH,MILLY
4B143,PLEATED MESH,ELIZABETH
4B144,Bella,YILILAI
4B145,Midnight Swan,MILLY
4B147,SUSAN,ELIZABETH
4B148,MARIE,MILLY
4b149,MALALA,YILILAI
4B150,HEAVENLY CHIFFON,MILLY
4B151,SUNSHINE PLEATS,ELIZABETH
4B152,Zodiac,MILLY
4B153,MAYA,MILLY
4B154,DOROTHY,MILLY
4B155,EDITH,MILLY
4B156,Hi-top two piece,MILLY
4B157,Anabelle Two Piece,MILLY
4B159,Melissa,ELIZABETH
4B160,Blake,ELIZABETH
4B161,Hayley Two Piece,MILLY
4B162,Molly,MILLY
4B164,Paradise Dream,ELIZABETH
4B166,Adriana,ELIZABETH
4B168,Elsa,MILLY
4B169,GWEN,ELIZABETH
4B170,CHER,ELIZABETH
4B171,Beca,MILLY
4B172,Eleanor,ELIZABETH
4B173,Harriet,MILLY
4B174,GLORIA,MILLY
4B175,,MILLY
4B146,,MILLY
4B176,CLARA,MILLY
4B179,raceway,MILLY
4B180,Monochrome,MILLY